"";"X";"tile";"xrange1";"xrange2";"yrange1";"yrange2";"istruzione";"salute";"trasporti";"qualifica";"servizi"
"126";126;"Tile row 7, col 22";1516185,18886292;1516803,45431346;5038660,46596431;5039213,00806144;1;0,294117647058824;0,285714285714286;0,333333333333333;0,076555023923445
"127";127;"Tile row 7, col 23";1516803,45431346;1517421,71974545;5038660,46596431;5039213,00806144;1;0,705882352941177;0,0476190476190476;1;0,30622009569378
"128";128;"Tile row 7, col 24";1517421,71974545;1518039,98519599;5038660,46596431;5039213,00806144;0,666666666666667;0,705882352941177;0,238095238095238;1;0,267942583732057
"129";129;"Tile row 7, col 25";1518039,98519599;1518658,25062798;5038660,46596431;5039213,00806144;0,333333333333333;0,294117647058824;0,19047619047619;0,666666666666667;0,23444976076555
"130";130;"Tile row 7, col 26";1518658,25062798;1519276,51605997;5038660,46596431;5039213,00806144;1;0,705882352941177;0,476190476190476;0,333333333333333;0,507177033492823
"131";131;"Tile row 7, col 27";1519276,51605997;1519894,78151051;5038660,46596431;5039213,00806144;0,666666666666667;0,705882352941177;0,380952380952381;1;0,0956937799043062
"132";132;"Tile row 7, col 28";1519894,78151051;1520513,0469425;5038660,46596431;5039213,00806144;0;0;0;1;0
"133";133;"Tile row 7, col 29";1520513,0469425;1521131,31237449;5039051,15549317;5039213,00806144;0;0;0;1;0
"134";134;"Tile row 7, col 30";1521131,31237449;1521749,57780648;5038752,24111902;5039213,00806144;0;0;0;1;0
"135";135;"Tile row 8, col 2";1504336,29712015;1504438,14556235;5038293,48214199;5038660,46596431;0;0;0;1;0
"136";136;"Tile row 8, col 3";1504438,14556235;1505056,41099434;5038107,92384862;5038660,46596431;0;0;0;0,666666666666667;0
"137";137;"Tile row 8, col 4";1505056,41099434;1505674,67644488;5038107,92384862;5038660,46596431;0;0;0;1;0
"138";138;"Tile row 8, col 5";1505674,67644488;1506292,94187687;5038107,92384862;5038660,46596431;0;0;0;1;0
"139";139;"Tile row 8, col 6";1506292,94187687;1506911,20730886;5038107,92384862;5038392,03615062;0;0;0;1;0
"140";140;"Tile row 8, col 7";1506911,20730886;1507529,4727594;5038107,92384862;5038660,46596431;0;0;0;1;0
"141";141;"Tile row 8, col 8";1507529,4727594;1508147,73819139;5038107,92384862;5038660,46596431;0,333333333333333;0;0,238095238095238;1;0,0287081339712919
"142";142;"Tile row 8, col 9";1508147,73819139;1508766,00364193;5038107,92384862;5038660,46596431;1;0,411764705882353;0,428571428571429;1;0,0956937799043062
"143";143;"Tile row 8, col 10";1508766,00364193;1509384,26907392;5038107,92384862;5038660,46596431;0;0,411764705882353;0,19047619047619;1;0,0334928229665072
"144";144;"Tile row 8, col 11";1509384,26907392;1510002,53450591;5038107,92384862;5038660,46596431;0,333333333333333;0,411764705882353;0,285714285714286;1;0,0334928229665072
"145";145;"Tile row 8, col 12";1510002,53450591;1510620,79995645;5038107,92384862;5038660,46596431;0;0;0,333333333333333;0,666666666666667;0,062200956937799
"146";146;"Tile row 8, col 13";1510620,79995645;1511239,06538844;5038107,92384862;5038660,46596431;1;0,411764705882353;0,380952380952381;0,333333333333333;0,239234449760766
"147";147;"Tile row 8, col 14";1511239,06538844;1511857,33082043;5038107,92384862;5038660,46596431;0,666666666666667;0,411764705882353;0,428571428571429;0,333333333333333;0,397129186602871
"148";148;"Tile row 8, col 15";1511857,33082043;1512475,59625243;5038107,92384862;5038660,46596431;0,666666666666667;0,411764705882353;0,142857142857143;1;0,320574162679426
"149";149;"Tile row 8, col 16";1512475,59625243;1513093,86168442;5038107,92384862;5038660,46596431;0;0;0,0952380952380952;0,666666666666667;0,172248803827751
"150";150;"Tile row 8, col 17";1513093,86168442;1513712,12711641;5038107,92384862;5038660,46596431;1;0,411764705882353;0,238095238095238;0,333333333333333;0,507177033492823
"151";151;"Tile row 8, col 18";1513712,12711641;1514330,3925484;5038107,92384862;5038660,46596431;0,333333333333333;0,411764705882353;0,285714285714286;1;0,196172248803828
"152";152;"Tile row 8, col 19";1514330,3925484;1514948,65799894;5038107,92384862;5038660,46596431;1;0,411764705882353;0,476190476190476;1;0,502392344497608
"153";153;"Tile row 8, col 20";1514948,65799894;1515566,92343093;5038107,92384862;5038660,46596431;1;0,705882352941177;0,238095238095238;1;0,416267942583732
"154";154;"Tile row 8, col 21";1515566,92343093;1516185,18886292;5038107,92384862;5038660,46596431;0,333333333333333;0,588235294117647;0,142857142857143;0,666666666666667;0,062200956937799
"155";155;"Tile row 8, col 22";1516185,18886292;1516803,45431346;5038107,92384862;5038660,46596431;0,666666666666667;1;0,428571428571429;0,666666666666667;0,248803827751196
"156";156;"Tile row 8, col 23";1516803,45431346;1517421,71974545;5038107,92384862;5038660,46596431;0;0,705882352941177;0,0952380952380952;0,666666666666667;0,0669856459330143
"157";157;"Tile row 8, col 24";1517421,71974545;1518039,98519599;5038107,92384862;5038660,46596431;1;1;0,142857142857143;1;0,172248803827751
"158";158;"Tile row 8, col 25";1518039,98519599;1518658,25062798;5038107,92384862;5038660,46596431;0;0,705882352941177;0,19047619047619;0,666666666666667;0,550239234449761
"159";159;"Tile row 8, col 26";1518658,25062798;1519276,51605997;5038107,92384862;5038660,46596431;0,333333333333333;0,294117647058824;0,238095238095238;1;0,148325358851675
"160";160;"Tile row 8, col 27";1519276,51605997;1519894,78151051;5038107,92384862;5038660,46596431;0,666666666666667;0;0;1;0,0574162679425837
"161";161;"Tile row 8, col 28";1519894,78151051;1520475,09675267;5038107,92384862;5038660,46596431;0;0;0,0476190476190476;1;0
"162";162;"Tile row 9, col 3";1504608,0987866;1505056,41099434;5037555,38173294;5038107,92384862;0;0;0;1;0
"163";163;"Tile row 9, col 4";1505056,41099434;1505674,67644488;5037555,38173294;5038107,92384862;0;0;0;1;0,0287081339712919
"164";164;"Tile row 9, col 5";1505674,67644488;1506292,94187687;5037555,38173294;5038107,92384862;1;0,411764705882353;0,142857142857143;0,666666666666667;0,157894736842105
"165";165;"Tile row 9, col 6";1506292,94187687;1506911,20730886;5037555,38173294;5038107,92384862;0;0;0;1;0
"166";166;"Tile row 9, col 7";1506911,20730886;1507529,4727594;5037555,38173294;5038107,92384862;0;0;0;1;0
"167";167;"Tile row 9, col 8";1507529,4727594;1508147,73819139;5037555,38173294;5038107,92384862;0,333333333333333;0;0,0952380952380952;0,666666666666667;0,0669856459330143
"168";168;"Tile row 9, col 9";1508147,73819139;1508766,00364193;5037555,38173294;5038107,92384862;0,333333333333333;0,411764705882353;0,285714285714286;1;0,196172248803828
"169";169;"Tile row 9, col 10";1508766,00364193;1509384,26907392;5037555,38173294;5038107,92384862;0,333333333333333;0,411764705882353;0,380952380952381;0,666666666666667;0,148325358851675
"170";170;"Tile row 9, col 11";1509384,26907392;1510002,53450591;5037555,38173294;5038107,92384862;1;0,411764705882353;0,428571428571429;1;0,105263157894737
"171";171;"Tile row 9, col 12";1510002,53450591;1510620,79995645;5037555,38173294;5038107,92384862;1;0,411764705882353;0,238095238095238;1;0,0287081339712919
"172";172;"Tile row 9, col 13";1510620,79995645;1511239,06538844;5037555,38173294;5038107,92384862;0;0,411764705882353;0,428571428571429;0,333333333333333;0,220095693779904
"173";173;"Tile row 9, col 14";1511239,06538844;1511857,33082043;5037555,38173294;5038107,92384862;0,666666666666667;0,411764705882353;0,761904761904762;0,666666666666667;0,593301435406698
"174";174;"Tile row 9, col 15";1511857,33082043;1512475,59625243;5037555,38173294;5038107,92384862;1;0,411764705882353;0,523809523809524;1;0,30622009569378
"175";175;"Tile row 9, col 16";1512475,59625243;1513093,86168442;5037555,38173294;5038107,92384862;0;0,411764705882353;0;0,666666666666667;0,15311004784689
"176";176;"Tile row 9, col 17";1513093,86168442;1513712,12711641;5037555,38173294;5038107,92384862;0,333333333333333;0;0,0761904761904762;1;0,0478468899521531
"177";177;"Tile row 9, col 18";1513712,12711641;1514330,3925484;5037555,38173294;5038107,92384862;0;0;0,19047619047619;1;0,105263157894737
"178";178;"Tile row 9, col 19";1514330,3925484;1514948,65799894;5037555,38173294;5038107,92384862;0,666666666666667;0,705882352941177;0,380952380952381;0,666666666666667;0,593301435406699
"179";179;"Tile row 9, col 20";1514948,65799894;1515566,92343093;5037555,38173294;5038107,92384862;0,666666666666667;0,411764705882353;1;0,666666666666667;0,129186602870813
"180";180;"Tile row 9, col 21";1515566,92343093;1516185,18886292;5037555,38173294;5038107,92384862;0,333333333333333;1;0,619047619047619;1;0,167464114832536
"181";181;"Tile row 9, col 22";1516185,18886292;1516803,45431346;5037555,38173294;5038107,92384862;0,333333333333333;1;0,333333333333333;0,666666666666667;0,30622009569378
"182";182;"Tile row 9, col 23";1516803,45431346;1517421,71974545;5037555,38173294;5038107,92384862;1;0,705882352941177;0,476190476190476;1;1
"183";183;"Tile row 9, col 24";1517421,71974545;1518039,98519599;5037555,38173294;5038107,92384862;0;0,294117647058824;0,333333333333333;1;0,54066985645933
"184";184;"Tile row 9, col 25";1518039,98519599;1518658,25062798;5037555,38173294;5038107,92384862;1;0,705882352941177;0,333333333333333;1;0,30622009569378
